"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\Desktop\greenhouse\src\components\Header.js", "JavaScript", 8, 0, 0, 8
"c:\Users\Gintautas\Desktop\greenhouse\src\config.js", "JavaScript", 2, 0, 0, 2
"c:\Users\Gintautas\Desktop\greenhouse\src\index.js", "JavaScript", 20, 0, 0, 20
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\GreenhouseControl.js", "JavaScript", 44, 0, 3, 47
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\SoilHumidityDay.js", "JavaScript", 119, 2, 9, 130
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\SoilHumidityMonth.js", "JavaScript", 116, 2, 10, 128
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\TemperatureMonth.js", "JavaScript", 4, 0, 0, 4
"c:\Users\Gintautas\Desktop\greenhouse\src\requests.js", "JavaScript", 20, 2, 2, 24
"Total", "-", 333, 6, 24, 363
