"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\Desktop\greenhouse\src\config.js", "JavaScript", 1, 0, 0, 1
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\GreenhouseControl.js", "JavaScript", 64, 0, 3, 67
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\Microcontroller.js", "JavaScript", 148, 0, 12, 160
"c:\Users\Gintautas\Desktop\greenhouse\src\pages\MyProfile.js", "JavaScript", -202, 0, -12, -214
"c:\Users\Gintautas\Desktop\greenhouse\src\requests.js", "JavaScript", 5, 1, 1, 7
"Total", "-", 16, 1, 4, 21
